"We are hiring","نحن نوظف"
"Department","القسم"
"Departments","الاقسام"
"Department : ","القسم : "
"New Department","قسم جديد"
"Department Name","اسم القسم"
"Department Description","وصف القسم"
"Save and Continue Edit","حفظ و الاستمرار فى التعديل"
"Save Department","حفظ القسم"
"General Information","معلومات عامة"
"Add New Department","اضافة قسم"
"Department saved","تم حفظ القسم"
"Department deleted","تم حذف القسم"
"Name","الاسم"
"A total of %1 record(s) have been deleted.","%1 entrée(s) ont été supprimée(s)"
"Job","الوظيفة"
"Jobs","الوظائف"
"New Job","وظيفة جديدة"
"Save and Continue Edit","حفظ و الاستمرار فى التعديل"
"Save Job","حفظ الوظيفة"
"General Information","معلومات عامة"
"Add New job","اضافة وظيفة"
"Job saved","تم حفظ الوظيفة"
"Job deleted","تم حذف الوظيفة"
"Title","العنوان"
"Type","النوع"
"Location","الموقع"
"Date","التاريخ"
"Status","الحالة"
"Enabled","فعال"
"Disabled","غير فعال"
"description","الوصف"
"Action","العملية"
